dapp_sector,CENTRALIZED,DECENTRALIZED,SEMI_DECENTRALIZED
collectibles,0.6842105263157895,0.03508771929824561,0.2807017543859649
defi,0.22857142857142856,0.13333333333333333,0.638095238095238
exchanges,0.06578947368421052,0.13157894736842105,0.8026315789473685
gambling,0.8620689655172413,0.0,0.13793103448275862
games,0.6521739130434783,0.034782608695652174,0.3130434782608696
high-risk,0.95,0.0,0.05
marketplaces,0.5068493150684932,0.0410958904109589,0.4520547945205479
other,0.3333333333333333,0.03571428571428571,0.6309523809523809
social,0.5,0.03409090909090909,0.4659090909090909
